Unnamed: 0,t,dist,I,coll,var
108,53.0,1239.6848819047316,50,vanilla,fixed
109,27.0,950.1707312312576,50,vanilla,fixed
110,55.0,1082.7369510744034,50,vanilla,fixed
111,42.0,885.9921540419941,50,vanilla,fixed
112,98.0,1319.6596850175306,50,vanilla,fixed
113,88.0,1010.94830031424,50,vanilla,fixed
114,98.0,823.3030423626781,50,vanilla,fixed
115,47.0,916.6124760264092,50,vanilla,fixed
116,59.0,982.1141525140598,50,vanilla,fixed
117,56.0,1092.4590175119602,50,vanilla,fixed
118,45.0,1253.3825601042493,50,vanilla,fixed
119,54.0,1061.3658574469555,50,vanilla,fixed
120,39.0,903.8529621247234,50,vanilla,fixed
121,40.0,1208.567772943549,50,vanilla,fixed
122,57.0,1167.929691026898,50,vanilla,fixed
123,92.0,1102.853575932378,50,vanilla,fixed
124,90.0,874.7431339467837,50,vanilla,fixed
125,59.0,1035.1430505908177,50,vanilla,fixed
126,43.0,1058.758490107792,50,vanilla,fixed
127,42.0,751.0353151156495,50,vanilla,fixed
128,42.0,964.448575375014,50,vanilla,fixed
129,54.0,1141.8532126251062,50,vanilla,fixed
130,51.0,841.5186146403933,50,vanilla,fixed
131,57.0,1230.3570936839392,50,vanilla,fixed
132,45.0,1038.3826475154258,50,vanilla,fixed
133,53.0,935.597347623724,50,vanilla,fixed
134,46.0,1324.374278388948,50,vanilla,fixed
135,55.0,1241.569258309383,50,vanilla,fixed
136,50.0,1178.809986290236,50,vanilla,fixed
137,47.0,847.2575121953088,50,vanilla,fixed
138,58.0,1013.8897916586088,50,vanilla,fixed
139,53.0,1185.395989521111,50,vanilla,fixed
140,53.0,1074.6642672990934,50,vanilla,fixed
141,59.0,1018.9477473075224,50,vanilla,fixed
142,54.0,925.611935232466,50,vanilla,fixed
143,48.0,1168.4853168225532,50,vanilla,fixed
144,61.0,1001.5721868115972,50,vanilla,fixed
145,40.0,1066.3330571874185,50,vanilla,fixed
146,48.0,892.7839413690472,50,vanilla,fixed
147,49.0,1165.6955783118824,50,vanilla,fixed
148,49.0,1035.2571120940145,50,vanilla,fixed
149,63.0,1203.192004808002,50,vanilla,fixed
150,131.0,1516.9701511854712,50,vanilla,fixed
151,48.0,932.741807127134,50,vanilla,fixed
152,49.0,1252.2411478463664,50,vanilla,fixed
153,44.0,1307.283772216743,50,vanilla,fixed
154,47.0,1419.5385212165083,50,vanilla,fixed
155,44.0,775.2449451744205,50,vanilla,fixed
156,46.0,1331.7118718982329,50,vanilla,fixed
157,52.0,1328.9609502701535,50,vanilla,fixed
158,55.0,1021.3862660705632,50,vanilla,fixed
159,58.0,1412.6206459827215,50,vanilla,fixed
160,41.0,1020.1646937245032,50,vanilla,fixed
161,47.0,953.1597970166074,50,vanilla,fixed
162,54.0,1340.6384076577222,50,vanilla,fixed
163,52.0,1264.3567865145951,50,vanilla,fixed
164,31.0,739.5961735121567,50,vanilla,fixed
165,56.0,1332.797377329447,50,vanilla,fixed
166,63.0,1229.91277383251,50,vanilla,fixed
167,44.0,925.8070651446768,50,vanilla,fixed
168,46.0,956.3278060493672,50,vanilla,fixed
169,44.0,1094.0988912251778,50,vanilla,fixed
170,53.0,1092.6120817540984,50,vanilla,fixed
171,54.0,1060.1431201411417,50,vanilla,fixed
172,52.0,1086.4192263108723,50,vanilla,fixed
173,51.0,1264.387566152273,50,vanilla,fixed
174,47.0,1253.842350836924,50,vanilla,fixed
175,43.0,1180.375391006893,50,vanilla,fixed
176,63.0,1270.2239863799489,50,vanilla,fixed
177,36.0,1028.5406878735334,50,vanilla,fixed
178,88.0,915.5182312893966,50,vanilla,fixed
179,30.0,1001.8320281015326,50,vanilla,fixed
180,71.0,934.803734720429,50,vanilla,fixed
181,54.0,1282.888230568159,50,vanilla,fixed
182,57.0,1035.491454018117,50,vanilla,fixed
183,57.0,1405.6655315280273,50,vanilla,fixed
184,47.0,1194.603243194866,50,vanilla,fixed
185,53.0,977.6501022486532,50,vanilla,fixed
186,50.0,1108.694282876575,50,vanilla,fixed
187,64.0,1363.4399150550328,50,vanilla,fixed
188,59.0,1182.8500581725516,50,vanilla,fixed
189,58.0,1065.388623228127,50,vanilla,fixed
190,51.0,1045.7321707187537,50,vanilla,fixed
191,57.0,1008.7928799251138,50,vanilla,fixed
192,44.0,1199.9072306205685,50,vanilla,fixed
193,50.0,924.3366369906186,50,vanilla,fixed
194,53.0,1159.2986750638595,50,vanilla,fixed
195,93.0,916.1304278602826,50,vanilla,fixed
196,81.0,1129.1130791294213,50,vanilla,fixed
197,42.0,1022.457326606577,50,vanilla,fixed
198,50.0,915.8745887912676,50,vanilla,fixed
199,39.0,1105.775704598259,50,vanilla,fixed
200,69.0,1999.0515353430792,100,vanilla,fixed
201,61.0,2102.3648582285296,100,vanilla,fixed
202,54.0,1697.92754320921,100,vanilla,fixed
203,68.0,1795.603518886807,100,vanilla,fixed
204,57.0,2007.848972364246,100,vanilla,fixed
205,28.0,1971.080468993772,100,vanilla,fixed
206,61.0,1961.7814805559576,100,vanilla,fixed
207,46.0,2163.546728296614,100,vanilla,fixed
208,45.0,2191.531361885124,100,vanilla,fixed
209,62.0,2114.827860691892,100,vanilla,fixed
210,61.0,1679.554021106335,100,vanilla,fixed
211,67.0,2201.5541082412456,100,vanilla,fixed
212,103.0,2052.595711328021,100,vanilla,fixed
213,57.0,2190.1372267042466,100,vanilla,fixed
214,71.0,1985.2394978989803,100,vanilla,fixed
215,17.0,2274.919085441849,100,vanilla,fixed
216,75.0,1962.8328287249024,100,vanilla,fixed
217,66.0,2266.9303179163176,100,vanilla,fixed
218,71.0,2284.7536464335844,100,vanilla,fixed
219,64.0,2189.710925891523,100,vanilla,fixed
220,54.0,2421.159778982157,100,vanilla,fixed
221,66.0,2243.91854710619,100,vanilla,fixed
222,65.0,1899.1434267726263,100,vanilla,fixed
223,65.0,1991.8909082736425,100,vanilla,fixed
224,66.0,2140.826258251442,100,vanilla,fixed
225,42.0,2135.575363340492,100,vanilla,fixed
226,49.0,2106.796398472533,100,vanilla,fixed
227,47.0,2381.6021823581664,100,vanilla,fixed
228,51.0,2168.7234286273283,100,vanilla,fixed
229,57.0,2082.935925483275,100,vanilla,fixed
230,66.0,1935.222233715685,100,vanilla,fixed
231,52.0,1960.7393749486453,100,vanilla,fixed
232,66.0,2523.5673389335234,100,vanilla,fixed
233,56.0,2257.91293737212,100,vanilla,fixed
234,61.0,2050.5315535596555,100,vanilla,fixed
235,55.0,2174.5703605290755,100,vanilla,fixed
236,64.0,2081.6532656065874,100,vanilla,fixed
237,51.0,2109.3083907094347,100,vanilla,fixed
238,36.0,1699.3211756118108,100,vanilla,fixed
239,64.0,2025.8829751753765,100,vanilla,fixed
240,75.0,2056.4275940266853,100,vanilla,fixed
241,66.0,2023.722940434976,100,vanilla,fixed
242,53.0,1808.302765324373,100,vanilla,fixed
243,84.0,2146.633721787912,100,vanilla,fixed
244,68.0,1951.3413079630084,100,vanilla,fixed
245,68.0,2147.44898875679,100,vanilla,fixed
246,106.0,1987.781672774793,100,vanilla,fixed
247,54.0,2334.164680923127,100,vanilla,fixed
248,64.0,2269.5425557515546,100,vanilla,fixed
249,116.0,2131.345128626058,100,vanilla,fixed
250,115.0,2141.1182779285496,100,vanilla,fixed
251,66.0,2032.62447388816,100,vanilla,fixed
252,54.0,1978.0476537039176,100,vanilla,fixed
253,51.0,2079.853988623602,100,vanilla,fixed
254,58.0,2235.1889860422034,100,vanilla,fixed
255,62.0,1903.894236978443,100,vanilla,fixed
256,53.0,2143.9244645118856,100,vanilla,fixed
257,51.0,2138.053688838995,100,vanilla,fixed
258,64.0,2042.787646130588,100,vanilla,fixed
