,t,dist,I,coll,var
0,16.0,2818.733437369859,50,collapsed,fixed
1,17.0,3002.9738951154677,50,collapsed,fixed
2,16.0,2635.549753000726,50,collapsed,fixed
3,19.0,2654.892218395399,50,collapsed,fixed
4,17.0,2757.657596109902,50,collapsed,fixed
5,16.0,2380.0570027164677,50,collapsed,fixed
6,19.0,2862.260247855557,50,collapsed,fixed
7,16.0,2605.3695502294886,50,collapsed,fixed
8,18.0,2980.494762965856,50,collapsed,fixed
9,17.0,2768.454731636093,50,collapsed,fixed
10,16.0,2243.8636870444657,50,collapsed,fixed
11,17.0,3320.9012983914054,50,collapsed,fixed
12,19.0,2876.87967609748,50,collapsed,fixed
13,20.0,2976.6295059678305,50,collapsed,fixed
14,19.0,3272.8929923215774,50,collapsed,fixed
15,18.0,2834.6652614531986,50,collapsed,fixed
16,16.0,2287.3999046127174,50,collapsed,fixed
17,15.0,2563.413382707906,50,collapsed,fixed
18,19.0,2780.049791677045,50,collapsed,fixed
19,15.0,2625.237048859117,50,collapsed,fixed
20,18.0,2947.489553917716,50,collapsed,fixed
21,31.0,3000.2881496042182,50,collapsed,fixed
22,18.0,2704.6783692215504,50,collapsed,fixed
23,16.0,2112.943339197021,50,collapsed,fixed
24,17.0,2270.1354243292903,50,collapsed,fixed
25,16.0,2299.500300572167,50,collapsed,fixed
26,15.0,2570.049819891526,50,collapsed,fixed
27,17.0,2744.032239128457,50,collapsed,fixed
28,16.0,3462.3854681483426,50,collapsed,fixed
29,16.0,2729.224874818306,50,collapsed,fixed
30,15.0,2453.4775172029804,50,collapsed,fixed
31,16.0,2797.2303680073087,50,collapsed,fixed
32,18.0,2540.0217298790303,50,collapsed,fixed
33,17.0,2795.433201546898,50,collapsed,fixed
34,18.0,2589.6343134553053,50,collapsed,fixed
35,19.0,2982.0166373192687,50,collapsed,fixed
36,18.0,2405.2338243645436,50,collapsed,fixed
37,17.0,2582.9343634084826,50,collapsed,fixed
38,16.0,2550.922315905174,50,collapsed,fixed
39,18.0,2664.133609411354,50,collapsed,fixed
40,17.0,2785.0505121313467,50,collapsed,fixed
41,15.0,2948.930501661542,50,collapsed,fixed
42,17.0,2461.7754852543344,50,collapsed,fixed
43,17.0,2823.618134384188,50,collapsed,fixed
44,19.0,3035.035317185009,50,collapsed,fixed
45,16.0,2668.6254761811892,50,collapsed,fixed
46,17.0,2543.186325496865,50,collapsed,fixed
47,17.0,2776.3055088943247,50,collapsed,fixed
48,17.0,2984.2577607721855,50,collapsed,fixed
49,17.0,2864.7100286355344,50,collapsed,fixed
50,13.0,4605.557888670355,100,collapsed,fixed
51,14.0,4384.818578863319,100,collapsed,fixed
52,12.0,5291.913678756624,100,collapsed,fixed
53,13.0,5223.357228570685,100,collapsed,fixed
54,13.0,4343.109159790214,100,collapsed,fixed
55,13.0,4716.590128638862,100,collapsed,fixed
56,13.0,4901.452892986549,100,collapsed,fixed
57,13.0,4701.0512009474105,100,collapsed,fixed
58,14.0,4623.104612411113,100,collapsed,fixed
59,13.0,4792.418460633401,100,collapsed,fixed
60,13.0,4653.0204000726635,100,collapsed,fixed
61,13.0,4868.53963538015,100,collapsed,fixed
62,12.0,5103.06143876391,100,collapsed,fixed
63,13.0,4421.720972462329,100,collapsed,fixed
64,12.0,5107.360614335409,100,collapsed,fixed
65,14.0,5020.572820635994,100,collapsed,fixed
66,12.0,4659.571245669988,100,collapsed,fixed
67,16.0,4964.183976098359,100,collapsed,fixed
68,15.0,5179.8233041633475,100,collapsed,fixed
69,16.0,5057.235383376823,100,collapsed,fixed
70,13.0,4695.217854219429,100,collapsed,fixed
71,15.0,5543.814540412518,100,collapsed,fixed
72,13.0,4494.178759340174,100,collapsed,fixed
73,13.0,5505.5534467877815,100,collapsed,fixed
74,12.0,4191.984117742029,100,collapsed,fixed
75,13.0,4457.491069892465,100,collapsed,fixed
76,13.0,4378.929224619853,100,collapsed,fixed
77,13.0,4686.6051861390615,100,collapsed,fixed
78,12.0,4710.523147901591,100,collapsed,fixed
79,13.0,5571.594487904004,100,collapsed,fixed
80,14.0,4760.351395521909,100,collapsed,fixed
81,14.0,4296.78198587965,100,collapsed,fixed
82,13.0,4301.196826943464,100,collapsed,fixed
83,17.0,5007.673689493468,100,collapsed,fixed
84,13.0,4397.060074375766,100,collapsed,fixed
85,13.0,4149.155622734745,100,collapsed,fixed
86,12.0,4032.6800435392147,100,collapsed,fixed
87,14.0,4624.556818773104,100,collapsed,fixed
88,14.0,5316.16423774345,100,collapsed,fixed
89,13.0,4461.403201337828,100,collapsed,fixed
90,13.0,4689.45545466112,100,collapsed,fixed
91,13.0,4336.427696188031,100,collapsed,fixed
92,13.0,5090.939835530499,100,collapsed,fixed
93,12.0,4892.847721628353,100,collapsed,fixed
94,14.0,5140.332122534968,100,collapsed,fixed
95,13.0,4894.407940099554,100,collapsed,fixed
96,13.0,4712.879137034597,100,collapsed,fixed
97,13.0,5219.712452960716,100,collapsed,fixed
98,15.0,4645.83000672199,100,collapsed,fixed
99,12.0,4539.222120559935,100,collapsed,fixed
100,10.0,10318.218172210285,250,collapsed,fixed
101,9.0,11104.886114798524,250,collapsed,fixed
102,9.0,9281.23897060715,250,collapsed,fixed
103,10.0,10872.349991273446,250,collapsed,fixed
104,8.0,11033.744211747977,250,collapsed,fixed
105,8.0,10648.777298482173,250,collapsed,fixed
106,9.0,10189.207855393788,250,collapsed,fixed
107,8.0,11119.918723376497,250,collapsed,fixed
108,11.0,11114.164835732194,250,collapsed,fixed
109,9.0,10142.089977809344,250,collapsed,fixed
110,8.0,10181.482805133664,250,collapsed,fixed
111,9.0,10735.905423701177,250,collapsed,fixed
112,9.0,11051.322325653367,250,collapsed,fixed
113,8.0,10816.57922425683,250,collapsed,fixed
114,9.0,10435.456236919328,250,collapsed,fixed
115,11.0,10791.746143101685,250,collapsed,fixed
116,9.0,11445.768631804001,250,collapsed,fixed
117,8.0,10658.881714146928,250,collapsed,fixed
118,8.0,10375.135725823331,250,collapsed,fixed
119,10.0,11329.119229641494,250,collapsed,fixed
120,13.0,9753.56188380417,250,collapsed,fixed
121,9.0,10175.141015144427,250,collapsed,fixed
122,8.0,11196.70586641785,250,collapsed,fixed
123,8.0,10685.168171393676,250,collapsed,fixed
124,8.0,10727.162716318277,250,collapsed,fixed
125,9.0,10482.988439738003,250,collapsed,fixed
126,8.0,10323.603025304114,250,collapsed,fixed
127,9.0,10900.580693237696,250,collapsed,fixed
128,12.0,10365.346853903491,250,collapsed,fixed
129,11.0,10855.319420821053,250,collapsed,fixed
130,8.0,10675.978589298125,250,collapsed,fixed
131,8.0,10608.291176149163,250,collapsed,fixed
132,12.0,10676.853278939754,250,collapsed,fixed
133,9.0,10373.538202196247,250,collapsed,fixed
134,8.0,11672.442467284725,250,collapsed,fixed
135,9.0,10090.406613217805,250,collapsed,fixed
136,8.0,9813.474251131429,250,collapsed,fixed
137,9.0,11260.59175070173,250,collapsed,fixed
138,9.0,10756.97752421323,250,collapsed,fixed
139,9.0,10478.596645281623,250,collapsed,fixed
140,8.0,10793.377273920836,250,collapsed,fixed
141,9.0,10095.496608059066,250,collapsed,fixed
142,9.0,10024.877083877363,250,collapsed,fixed
143,9.0,10136.269840564253,250,collapsed,fixed
144,8.0,10578.16461219125,250,collapsed,fixed
145,8.0,9607.43985985812,250,collapsed,fixed
146,9.0,11057.672595788052,250,collapsed,fixed
147,9.0,9576.49633137138,250,collapsed,fixed
