,t,dist,I,coll,var
0,5.0,765.9609063676497,50,collapsed,fixed
1,6.0,1070.9389986468675,50,collapsed,fixed
2,4.0,840.2731548104774,50,collapsed,fixed
3,5.0,1041.480035670995,50,collapsed,fixed
4,5.0,1145.3192987641764,50,collapsed,fixed
5,4.0,978.1023152094533,50,collapsed,fixed
6,5.0,868.4124707639686,50,collapsed,fixed
7,4.0,978.8561653819462,50,collapsed,fixed
8,5.0,959.7030687911424,50,collapsed,fixed
9,6.0,928.2222191705813,50,collapsed,fixed
10,5.0,1052.0229074583085,50,collapsed,fixed
11,5.0,900.0089689895002,50,collapsed,fixed
12,5.0,1262.5994547911114,50,collapsed,fixed
13,5.0,1167.381362977656,50,collapsed,fixed
14,4.0,958.7055153561579,50,collapsed,fixed
15,5.0,1110.7417300648603,50,collapsed,fixed
16,5.0,1150.570903695955,50,collapsed,fixed
17,4.0,1117.1439262335143,50,collapsed,fixed
18,4.0,1174.7812290287932,50,collapsed,fixed
19,5.0,1003.2938316502573,50,collapsed,fixed
20,4.0,816.8531169450137,50,collapsed,fixed
21,4.0,1030.9876719912047,50,collapsed,fixed
22,5.0,1145.7030273753999,50,collapsed,fixed
23,4.0,890.9548976905857,50,collapsed,fixed
24,5.0,933.207688772077,50,collapsed,fixed
25,4.0,1022.2088427834924,50,collapsed,fixed
26,5.0,1027.1773767143254,50,collapsed,fixed
27,6.0,861.589410386575,50,collapsed,fixed
28,6.0,1131.6711769186875,50,collapsed,fixed
29,5.0,1044.9429608846199,50,collapsed,fixed
30,5.0,1027.0076119294608,50,collapsed,fixed
31,5.0,836.8753367889531,50,collapsed,fixed
32,5.0,1015.3561837827341,50,collapsed,fixed
33,5.0,1096.2606735366867,50,collapsed,fixed
34,5.0,1146.8264292753724,50,collapsed,fixed
35,6.0,992.2989216300941,50,collapsed,fixed
36,5.0,1253.8360931315272,50,collapsed,fixed
37,5.0,932.6230472810614,50,collapsed,fixed
38,6.0,940.320472037399,50,collapsed,fixed
39,5.0,1162.1721929043122,50,collapsed,fixed
40,5.0,1009.6301117833636,50,collapsed,fixed
41,6.0,1081.216230582818,50,collapsed,fixed
42,5.0,1150.2586778037642,50,collapsed,fixed
43,5.0,823.2980709201496,50,collapsed,fixed
44,5.0,989.9647036159213,50,collapsed,fixed
45,5.0,1009.9893650201785,50,collapsed,fixed
46,5.0,927.589137585758,50,collapsed,fixed
47,5.0,1104.0649816354248,50,collapsed,fixed
48,8.0,1088.0831869626859,50,collapsed,fixed
49,5.0,1059.7919525639525,50,collapsed,fixed
50,5.0,1015.0256636798763,50,collapsed,fixed
51,5.0,1164.833068616426,50,collapsed,fixed
52,5.0,962.736014788937,50,collapsed,fixed
53,5.0,1045.987428923747,50,collapsed,fixed
54,5.0,848.0991591818678,50,collapsed,fixed
55,6.0,1013.0175969876153,50,collapsed,fixed
56,6.0,844.2364534230574,50,collapsed,fixed
57,5.0,1064.6933598341088,50,collapsed,fixed
58,4.0,683.1148896610345,50,collapsed,fixed
59,5.0,1038.542808923488,50,collapsed,fixed
60,5.0,886.6255550658157,50,collapsed,fixed
61,6.0,972.7620741530618,50,collapsed,fixed
62,5.0,1517.8309157111737,50,collapsed,fixed
63,4.0,984.7433035850983,50,collapsed,fixed
64,5.0,1183.05507577428,50,collapsed,fixed
65,5.0,878.3573124345653,50,collapsed,fixed
66,4.0,986.3346568092995,50,collapsed,fixed
67,5.0,1174.775765272265,50,collapsed,fixed
68,5.0,1373.1078534386775,50,collapsed,fixed
69,5.0,1049.0214464965884,50,collapsed,fixed
70,4.0,1169.266308154353,50,collapsed,fixed
71,6.0,1370.1949885064503,50,collapsed,fixed
72,5.0,813.5827477666587,50,collapsed,fixed
73,5.0,856.9093867679496,50,collapsed,fixed
74,4.0,974.500954071308,50,collapsed,fixed
75,5.0,1076.671294842676,50,collapsed,fixed
76,7.0,907.5323892207039,50,collapsed,fixed
77,5.0,1069.311777298921,50,collapsed,fixed
78,5.0,815.9079897737959,50,collapsed,fixed
79,5.0,1012.3077475724097,50,collapsed,fixed
80,6.0,1064.6414331473707,50,collapsed,fixed
81,5.0,854.8598604120891,50,collapsed,fixed
82,5.0,1275.4329379489063,50,collapsed,fixed
83,5.0,1129.285031622293,50,collapsed,fixed
84,5.0,950.0474902207897,50,collapsed,fixed
85,5.0,995.2622967266857,50,collapsed,fixed
86,6.0,1022.0791542962319,50,collapsed,fixed
87,6.0,963.8749849884562,50,collapsed,fixed
88,5.0,1154.4625388350883,50,collapsed,fixed
89,4.0,904.2521872085192,50,collapsed,fixed
90,4.0,1209.1807302193372,50,collapsed,fixed
91,6.0,1013.063307724762,50,collapsed,fixed
92,5.0,875.9884970861536,50,collapsed,fixed
93,5.0,995.3496887337778,50,collapsed,fixed
94,5.0,1020.3528989294982,50,collapsed,fixed
95,5.0,1231.07305482885,50,collapsed,fixed
96,6.0,824.9782645063051,50,collapsed,fixed
97,5.0,915.6698959278713,50,collapsed,fixed
98,4.0,858.5762518279686,50,collapsed,fixed
99,6.0,1119.9991528536393,50,collapsed,fixed
100,6.0,2460.11505359776,100,collapsed,fixed
101,5.0,2367.0971751554694,100,collapsed,fixed
102,6.0,2032.6337613062176,100,collapsed,fixed
103,5.0,2216.2319930278118,100,collapsed,fixed
104,5.0,1718.1954980693713,100,collapsed,fixed
105,5.0,2123.4081412234204,100,collapsed,fixed
106,6.0,1855.2106833195633,100,collapsed,fixed
107,5.0,2414.1504298848226,100,collapsed,fixed
108,5.0,2243.652473115478,100,collapsed,fixed
109,5.0,2007.3428836195535,100,collapsed,fixed
110,6.0,1827.3930901299675,100,collapsed,fixed
111,6.0,2484.0528998727086,100,collapsed,fixed
112,5.0,2482.8707907622975,100,collapsed,fixed
113,6.0,2489.876771799061,100,collapsed,fixed
114,6.0,2079.1897977820454,100,collapsed,fixed
115,5.0,2118.80549892505,100,collapsed,fixed
116,6.0,1743.4269710621875,100,collapsed,fixed
117,7.0,1887.2060572337757,100,collapsed,fixed
118,6.0,2073.77207198216,100,collapsed,fixed
119,6.0,2133.3519050823284,100,collapsed,fixed
120,5.0,1806.4000191326177,100,collapsed,fixed
121,5.0,1808.0018947162332,100,collapsed,fixed
122,6.0,2632.485864377821,100,collapsed,fixed
123,5.0,1868.3820203986713,100,collapsed,fixed
124,5.0,2211.3700677945417,100,collapsed,fixed
125,5.0,2137.944474311903,100,collapsed,fixed
126,6.0,1980.3780818780945,100,collapsed,fixed
127,5.0,2149.9920674254327,100,collapsed,fixed
128,6.0,2144.348054278427,100,collapsed,fixed
129,5.0,2039.491940005533,100,collapsed,fixed
130,5.0,1850.8407314773922,100,collapsed,fixed
131,6.0,2217.111199144558,100,collapsed,fixed
132,5.0,1728.977308983823,100,collapsed,fixed
133,6.0,2342.240460375226,100,collapsed,fixed
134,5.0,1896.8873337324508,100,collapsed,fixed
135,5.0,1965.7156488112691,100,collapsed,fixed
136,5.0,2481.656619858445,100,collapsed,fixed
137,5.0,1913.2631499250656,100,collapsed,fixed
138,6.0,2291.898883642928,100,collapsed,fixed
139,5.0,2067.956335676726,100,collapsed,fixed
140,5.0,1800.3567389295995,100,collapsed,fixed
141,5.0,2057.3719248203115,100,collapsed,fixed
142,5.0,2031.7222805699953,100,collapsed,fixed
143,6.0,2169.6593825225386,100,collapsed,fixed
144,5.0,2088.728424028029,100,collapsed,fixed
145,5.0,2119.2292090129413,100,collapsed,fixed
146,5.0,2031.7355390583973,100,collapsed,fixed
147,6.0,2137.5475417645903,100,collapsed,fixed
148,5.0,1894.9967342535083,100,collapsed,fixed
149,6.0,2093.5712495378793,100,collapsed,fixed
150,5.0,1971.3118413524473,100,collapsed,fixed
151,6.0,2054.7227581220545,100,collapsed,fixed
152,5.0,2049.570240341705,100,collapsed,fixed
153,6.0,2552.5361074385373,100,collapsed,fixed
154,6.0,2103.349902427261,100,collapsed,fixed
155,5.0,2142.6322488525534,100,collapsed,fixed
156,5.0,2019.0116319965682,100,collapsed,fixed
157,6.0,2069.0222364565907,100,collapsed,fixed
158,5.0,2060.3548790602877,100,collapsed,fixed
159,5.0,1821.0085880644133,100,collapsed,fixed
160,5.0,1885.6956059885022,100,collapsed,fixed
161,5.0,2009.7155560218446,100,collapsed,fixed
162,5.0,1986.1185279192007,100,collapsed,fixed
163,5.0,2008.2765239662801,100,collapsed,fixed
164,7.0,2204.9096541265117,100,collapsed,fixed
165,5.0,2476.151456068335,100,collapsed,fixed
166,5.0,2141.606925764074,100,collapsed,fixed
167,6.0,1957.7359772252717,100,collapsed,fixed
168,5.0,2023.6948842929696,100,collapsed,fixed
169,7.0,2514.2934240674163,100,collapsed,fixed
170,5.0,1820.5002997259205,100,collapsed,fixed
171,6.0,2284.4924548702984,100,collapsed,fixed
172,5.0,1900.5055900448476,100,collapsed,fixed
173,5.0,2090.1314810207264,100,collapsed,fixed
174,6.0,1675.2827341977752,100,collapsed,fixed
175,5.0,2177.7476010083515,100,collapsed,fixed
176,5.0,2106.7958273234362,100,collapsed,fixed
177,5.0,2084.686221792503,100,collapsed,fixed
178,5.0,1958.853313926275,100,collapsed,fixed
179,5.0,1989.8067984832833,100,collapsed,fixed
180,5.0,2483.5324469828347,100,collapsed,fixed
181,6.0,2347.157166484998,100,collapsed,fixed
182,5.0,2023.6669712460985,100,collapsed,fixed
183,5.0,2176.610862275305,100,collapsed,fixed
184,6.0,2113.612610193342,100,collapsed,fixed
185,5.0,2009.5557611168756,100,collapsed,fixed
186,5.0,2098.864579561946,100,collapsed,fixed
187,6.0,2050.3930639904065,100,collapsed,fixed
188,9.0,2278.291592552127,100,collapsed,fixed
189,5.0,1975.1078251379647,100,collapsed,fixed
190,5.0,2388.031287176717,100,collapsed,fixed
191,5.0,2242.9561621106277,100,collapsed,fixed
192,5.0,1959.6778601323454,100,collapsed,fixed
193,5.0,1978.2758700375502,100,collapsed,fixed
194,5.0,2270.0694802093094,100,collapsed,fixed
195,5.0,2300.3688158557175,100,collapsed,fixed
196,6.0,2046.4788274844493,100,collapsed,fixed
197,6.0,1925.3764273057811,100,collapsed,fixed
198,5.0,2124.559502467306,100,collapsed,fixed
199,5.0,2009.5454968770482,100,collapsed,fixed
200,6.0,5135.246432951778,250,collapsed,fixed
201,7.0,5107.042043251895,250,collapsed,fixed
202,6.0,4616.972829355509,250,collapsed,fixed
203,7.0,5470.612766924858,250,collapsed,fixed
204,6.0,4988.179405730505,250,collapsed,fixed
205,6.0,4778.580264919246,250,collapsed,fixed
206,6.0,4987.622566420768,250,collapsed,fixed
207,6.0,5526.954342596401,250,collapsed,fixed
208,6.0,5332.013792922444,250,collapsed,fixed
209,8.0,5271.533017006699,250,collapsed,fixed
210,6.0,5275.8084591665,250,collapsed,fixed
211,7.0,5366.169150840105,250,collapsed,fixed
212,6.0,5540.05979515622,250,collapsed,fixed
213,7.0,5671.555068841829,250,collapsed,fixed
214,7.0,5035.533721126034,250,collapsed,fixed
215,6.0,5519.445384614387,250,collapsed,fixed
216,7.0,5150.131965817157,250,collapsed,fixed
217,7.0,5191.056507318851,250,collapsed,fixed
218,6.0,4808.9502224040925,250,collapsed,fixed
219,6.0,5252.931275578407,250,collapsed,fixed
220,7.0,5324.146119875146,250,collapsed,fixed
221,7.0,5525.891977559122,250,collapsed,fixed
222,6.0,5057.3478212260525,250,collapsed,fixed
223,6.0,5045.792834223841,250,collapsed,fixed
224,6.0,5240.693047212969,250,collapsed,fixed
225,7.0,4812.423468473078,250,collapsed,fixed
226,6.0,5169.307306921999,250,collapsed,fixed
227,7.0,5123.71841418481,250,collapsed,fixed
228,7.0,5517.475891921796,250,collapsed,fixed
229,7.0,5870.349595231682,250,collapsed,fixed
230,7.0,5135.739034190915,250,collapsed,fixed
231,6.0,5765.99367763564,250,collapsed,fixed
232,7.0,5122.175218091149,250,collapsed,fixed
233,7.0,5756.112830916312,250,collapsed,fixed
234,6.0,4671.404375799261,250,collapsed,fixed
235,7.0,5256.986274621149,250,collapsed,fixed
236,6.0,4796.987105378933,250,collapsed,fixed
237,7.0,5080.104316100164,250,collapsed,fixed
238,6.0,4642.286700607746,250,collapsed,fixed
239,6.0,5135.110048420441,250,collapsed,fixed
240,6.0,4686.797360790357,250,collapsed,fixed
241,7.0,5591.912671046661,250,collapsed,fixed
242,6.0,6018.846850476607,250,collapsed,fixed
243,6.0,5663.70152023288,250,collapsed,fixed
244,7.0,5992.00696294397,250,collapsed,fixed
245,6.0,5124.297071472899,250,collapsed,fixed
246,6.0,4971.391311588613,250,collapsed,fixed
247,6.0,5151.510002213075,250,collapsed,fixed
248,6.0,4590.974721348692,250,collapsed,fixed
249,7.0,5480.2048143743,250,collapsed,fixed
250,6.0,5516.682693853073,250,collapsed,fixed
251,6.0,5176.701349635197,250,collapsed,fixed
252,6.0,5253.241254010132,250,collapsed,fixed
253,7.0,5622.8939971995715,250,collapsed,fixed
254,7.0,5492.979949853508,250,collapsed,fixed
255,7.0,5504.79323062373,250,collapsed,fixed
256,7.0,5276.82046010348,250,collapsed,fixed
257,7.0,5141.30157394893,250,collapsed,fixed
258,6.0,5064.676244921903,250,collapsed,fixed
259,6.0,5376.108074383211,250,collapsed,fixed
260,6.0,5394.496624503751,250,collapsed,fixed
261,7.0,4965.625724083176,250,collapsed,fixed
262,6.0,5420.575738122758,250,collapsed,fixed
263,6.0,5180.663109798672,250,collapsed,fixed
264,6.0,5311.679475062522,250,collapsed,fixed
265,6.0,5360.294138976581,250,collapsed,fixed
266,6.0,5221.286339472223,250,collapsed,fixed
267,7.0,5574.277103562703,250,collapsed,fixed
268,7.0,5695.802096373021,250,collapsed,fixed
269,7.0,5161.229164757923,250,collapsed,fixed
270,6.0,5544.231816797298,250,collapsed,fixed
271,7.0,5157.265201602949,250,collapsed,fixed
272,6.0,5377.382884836616,250,collapsed,fixed
273,6.0,5391.191185596446,250,collapsed,fixed
274,7.0,5727.099164921302,250,collapsed,fixed
275,6.0,5748.52050492203,250,collapsed,fixed
276,6.0,5639.834470817275,250,collapsed,fixed
277,6.0,5988.797397557084,250,collapsed,fixed
278,8.0,4929.097836562464,250,collapsed,fixed
279,6.0,5725.60014548897,250,collapsed,fixed
280,7.0,5326.381502423948,250,collapsed,fixed
281,7.0,5196.338317792283,250,collapsed,fixed
282,7.0,4559.386875186024,250,collapsed,fixed
283,7.0,5708.0414365215265,250,collapsed,fixed
284,6.0,5189.49225702768,250,collapsed,fixed
285,6.0,5466.931940649532,250,collapsed,fixed
286,6.0,5028.990185200257,250,collapsed,fixed
287,7.0,5522.965448439153,250,collapsed,fixed
288,6.0,4965.784637781035,250,collapsed,fixed
289,7.0,5102.82145719629,250,collapsed,fixed
290,6.0,5288.0522151089435,250,collapsed,fixed
291,6.0,5038.572920947033,250,collapsed,fixed
292,6.0,4959.517797647506,250,collapsed,fixed
293,7.0,5113.647475894418,250,collapsed,fixed
294,6.0,5323.194986894294,250,collapsed,fixed
295,7.0,5525.4024614327445,250,collapsed,fixed
296,6.0,5239.005510857566,250,collapsed,fixed
297,7.0,5712.653731990797,250,collapsed,fixed
298,7.0,5373.17466819847,250,collapsed,fixed
299,6.0,5609.738447893495,250,collapsed,fixed
300,8.0,10900.49755310589,500,collapsed,fixed
301,8.0,10367.495158648191,500,collapsed,fixed
302,8.0,11544.404184158875,500,collapsed,fixed
303,8.0,10122.276278124467,500,collapsed,fixed
304,8.0,10191.675640524138,500,collapsed,fixed
305,8.0,10889.584553126406,500,collapsed,fixed
306,7.0,11226.36261986453,500,collapsed,fixed
307,7.0,10728.81507520888,500,collapsed,fixed
308,8.0,9971.296878714858,500,collapsed,fixed
309,8.0,10571.1627182854,500,collapsed,fixed
310,8.0,11265.025726495203,500,collapsed,fixed
311,8.0,10277.10615705758,500,collapsed,fixed
312,8.0,10364.80069366544,500,collapsed,fixed
313,8.0,10313.577968792239,500,collapsed,fixed
314,7.0,10587.203606509285,500,collapsed,fixed
315,8.0,10527.613713562452,500,collapsed,fixed
316,8.0,10449.995078438027,500,collapsed,fixed
317,8.0,9844.12349282213,500,collapsed,fixed
318,8.0,10701.992524927864,500,collapsed,fixed
319,8.0,10956.137767430244,500,collapsed,fixed
320,7.0,10679.726193467102,500,collapsed,fixed
321,7.0,9976.385478822362,500,collapsed,fixed
322,8.0,10716.873367174136,500,collapsed,fixed
323,7.0,10120.80262381413,500,collapsed,fixed
324,8.0,11009.777180305327,500,collapsed,fixed
325,9.0,11335.181103715579,500,collapsed,fixed
326,7.0,10543.260766644295,500,collapsed,fixed
327,9.0,10950.572018272967,500,collapsed,fixed
328,8.0,10299.895381430806,500,collapsed,fixed
329,8.0,10747.200921172574,500,collapsed,fixed
330,8.0,10426.345053349887,500,collapsed,fixed
331,8.0,10736.81545761857,500,collapsed,fixed
332,8.0,10527.689078945976,500,collapsed,fixed
333,7.0,10590.251850559544,500,collapsed,fixed
334,7.0,11358.200716548408,500,collapsed,fixed
335,7.0,10208.989968927302,500,collapsed,fixed
336,8.0,10407.912006096269,500,collapsed,fixed
337,7.0,10110.288317579085,500,collapsed,fixed
338,8.0,10300.550316212844,500,collapsed,fixed
339,6.0,10377.362411441094,500,collapsed,fixed
340,8.0,10485.472659993644,500,collapsed,fixed
341,7.0,9797.092035617954,500,collapsed,fixed
342,7.0,10305.522801581483,500,collapsed,fixed
343,7.0,10441.399594389955,500,collapsed,fixed
344,9.0,10126.922152092875,500,collapsed,fixed
345,8.0,10208.55522123856,500,collapsed,fixed
346,8.0,10219.065103850198,500,collapsed,fixed
347,8.0,10608.696125787377,500,collapsed,fixed
348,8.0,10708.592711174038,500,collapsed,fixed
349,7.0,10426.318157521187,500,collapsed,fixed
350,8.0,11192.198750831802,500,collapsed,fixed
351,7.0,9574.77893099975,500,collapsed,fixed
352,8.0,10564.942490198264,500,collapsed,fixed
353,8.0,10660.013416332271,500,collapsed,fixed
354,8.0,10692.872047530702,500,collapsed,fixed
355,8.0,10595.258256976393,500,collapsed,fixed
356,8.0,10108.129372167892,500,collapsed,fixed
357,7.0,11148.504314985636,500,collapsed,fixed
358,8.0,9953.093969177922,500,collapsed,fixed
359,8.0,9768.668733718985,500,collapsed,fixed
360,8.0,10084.173526567067,500,collapsed,fixed
361,8.0,10191.738969900716,500,collapsed,fixed
362,8.0,11094.501909432385,500,collapsed,fixed
363,7.0,9872.350352749612,500,collapsed,fixed
364,8.0,10037.783661052214,500,collapsed,fixed
365,8.0,10514.480670164054,500,collapsed,fixed
366,7.0,10153.499874110346,500,collapsed,fixed
367,8.0,10210.40777710841,500,collapsed,fixed
368,8.0,11401.968816715262,500,collapsed,fixed
369,7.0,10738.1115847161,500,collapsed,fixed
370,8.0,10852.463842723673,500,collapsed,fixed
371,8.0,10869.419564087335,500,collapsed,fixed
372,8.0,9632.785682775933,500,collapsed,fixed
373,8.0,9920.006107038223,500,collapsed,fixed
374,8.0,10654.18470171489,500,collapsed,fixed
375,7.0,10323.201172236068,500,collapsed,fixed
376,7.0,10283.806170042677,500,collapsed,fixed
377,7.0,9756.500897003987,500,collapsed,fixed
378,7.0,11273.233181659318,500,collapsed,fixed
379,8.0,9726.024235391224,500,collapsed,fixed
380,8.0,10854.582460159734,500,collapsed,fixed
381,6.0,9713.936216616654,500,collapsed,fixed
382,7.0,9963.26953415989,500,collapsed,fixed
383,8.0,10158.93155566061,500,collapsed,fixed
384,7.0,10594.398940985677,500,collapsed,fixed
385,7.0,10983.706993269052,500,collapsed,fixed
386,8.0,10035.747131093787,500,collapsed,fixed
387,7.0,10817.241626669389,500,collapsed,fixed
388,8.0,10671.236577527487,500,collapsed,fixed
389,8.0,10143.17297401845,500,collapsed,fixed
390,7.0,10443.089419664164,500,collapsed,fixed
391,8.0,10652.654099361973,500,collapsed,fixed
392,7.0,11197.634223587313,500,collapsed,fixed
393,8.0,10147.605447684513,500,collapsed,fixed
394,8.0,9704.686105351473,500,collapsed,fixed
395,9.0,10695.437064613427,500,collapsed,fixed
396,8.0,10189.068772109955,500,collapsed,fixed
397,7.0,11354.337544192691,500,collapsed,fixed
398,7.0,10597.26913063838,500,collapsed,fixed
399,8.0,11462.098746261696,500,collapsed,fixed
400,8.0,21893.605626496264,1000,collapsed,fixed
401,7.0,20659.124720850374,1000,collapsed,fixed
402,9.0,20542.35930809273,1000,collapsed,fixed
403,8.0,20956.541613731843,1000,collapsed,fixed
404,7.0,21086.722362520235,1000,collapsed,fixed
405,8.0,20198.179129173725,1000,collapsed,fixed
406,8.0,22631.877998539632,1000,collapsed,fixed
407,8.0,21938.75069822939,1000,collapsed,fixed
408,7.0,21840.942253345554,1000,collapsed,fixed
409,7.0,21752.030414637484,1000,collapsed,fixed
410,7.0,21618.448367704554,1000,collapsed,fixed
411,7.0,22609.308691012688,1000,collapsed,fixed
412,8.0,21293.020820622645,1000,collapsed,fixed
413,7.0,21139.663423983984,1000,collapsed,fixed
414,7.0,21976.25739266933,1000,collapsed,fixed
415,7.0,21613.48260792569,1000,collapsed,fixed
416,8.0,21646.67317160387,1000,collapsed,fixed
417,7.0,22484.96395476951,1000,collapsed,fixed
418,7.0,21020.254083237494,1000,collapsed,fixed
419,7.0,21187.750122437483,1000,collapsed,fixed
420,7.0,20860.688920572167,1000,collapsed,fixed
421,7.0,20824.898999594658,1000,collapsed,fixed
422,7.0,20685.170736853175,1000,collapsed,fixed
423,7.0,20689.24269186452,1000,collapsed,fixed
424,7.0,21339.638266209706,1000,collapsed,fixed
425,7.0,21015.664771591404,1000,collapsed,fixed
426,7.0,20145.31880592831,1000,collapsed,fixed
427,7.0,20979.75282991323,1000,collapsed,fixed
428,7.0,22377.435887770225,1000,collapsed,fixed
429,7.0,21982.77035181143,1000,collapsed,fixed
430,7.0,20899.49176644007,1000,collapsed,fixed
431,8.0,22236.35728057603,1000,collapsed,fixed
432,8.0,20907.318743110587,1000,collapsed,fixed
433,7.0,21556.51406218094,1000,collapsed,fixed
434,7.0,21449.241048090844,1000,collapsed,fixed
435,7.0,21495.86727958132,1000,collapsed,fixed
436,7.0,21591.40533162413,1000,collapsed,fixed
437,7.0,21199.993696583373,1000,collapsed,fixed
438,7.0,20753.612319370597,1000,collapsed,fixed
439,8.0,21316.51001080119,1000,collapsed,fixed
440,8.0,21089.382385476172,1000,collapsed,fixed
441,7.0,20237.56932590188,1000,collapsed,fixed
442,7.0,21156.738256391072,1000,collapsed,fixed
443,8.0,21602.747780243597,1000,collapsed,fixed
444,7.0,20946.057107855522,1000,collapsed,fixed
445,8.0,21480.119306181336,1000,collapsed,fixed
446,8.0,19964.249983747097,1000,collapsed,fixed
447,8.0,22473.040884257112,1000,collapsed,fixed
448,7.0,20946.5328510923,1000,collapsed,fixed
449,8.0,20975.140531605055,1000,collapsed,fixed
