,t,dist,I,coll,var
0,11.0,1881.0019897801685,50,collapsed,fixed
1,13.0,2131.6132401538675,50,collapsed,fixed
2,12.0,1789.405868342394,50,collapsed,fixed
3,14.0,2158.2169021881173,50,collapsed,fixed
4,13.0,1627.6823421851336,50,collapsed,fixed
5,11.0,1872.986793494758,50,collapsed,fixed
6,12.0,2089.680134777636,50,collapsed,fixed
7,13.0,2218.475395087781,50,collapsed,fixed
8,12.0,1645.3492684986588,50,collapsed,fixed
9,11.0,1932.3272170879347,50,collapsed,fixed
10,13.0,1460.7681804748663,50,collapsed,fixed
11,13.0,1986.5522616566718,50,collapsed,fixed
12,11.0,2005.2224986927715,50,collapsed,fixed
13,13.0,1503.3345134639017,50,collapsed,fixed
14,11.0,1800.2398297255577,50,collapsed,fixed
15,11.0,1933.525243131945,50,collapsed,fixed
16,10.0,1925.4237219296415,50,collapsed,fixed
17,12.0,1840.5907735084331,50,collapsed,fixed
18,13.0,2001.3943573059453,50,collapsed,fixed
19,11.0,1608.7955688340496,50,collapsed,fixed
20,13.0,1916.5941244132516,50,collapsed,fixed
21,13.0,1939.0742739853983,50,collapsed,fixed
22,12.0,1941.5902163738926,50,collapsed,fixed
23,12.0,1556.4479394809896,50,collapsed,fixed
24,12.0,1744.5906777791938,50,collapsed,fixed
25,12.0,1886.0657863216431,50,collapsed,fixed
26,13.0,1436.069923506595,50,collapsed,fixed
27,14.0,1824.0885775946685,50,collapsed,fixed
28,13.0,1778.3548370419514,50,collapsed,fixed
29,11.0,1888.7588462073454,50,collapsed,fixed
30,13.0,2180.6581157793744,50,collapsed,fixed
31,13.0,1957.3163188874937,50,collapsed,fixed
32,12.0,2074.4424144354884,50,collapsed,fixed
33,12.0,1908.905128693001,50,collapsed,fixed
34,14.0,1735.5913442251442,50,collapsed,fixed
35,12.0,1545.1632160229406,50,collapsed,fixed
36,12.0,1789.787093894153,50,collapsed,fixed
37,12.0,1699.1336863529898,50,collapsed,fixed
38,11.0,1698.2315050921045,50,collapsed,fixed
39,13.0,1742.5030509439966,50,collapsed,fixed
40,12.0,1763.2916661696465,50,collapsed,fixed
41,31.0,2093.419064235971,50,collapsed,fixed
42,13.0,1947.110422743219,50,collapsed,fixed
