,t,dist,eps,I,coll,var
0,63.0,965.3295348787128,0.004205380612963466,50,vanilla,free_v
1,41.0,2413.148485579859,0.004205380612963466,50,vanilla,free_v
2,71.0,1126.1426141924455,0.004205380612963466,50,vanilla,free_v
3,34.0,878.7314600852426,0.004205380612963466,50,vanilla,free_v
4,43.0,1186.4081310203705,0.004205380612963466,50,vanilla,free_v
5,42.0,1080.8203874903145,0.004205380612963466,50,vanilla,free_v
6,53.0,1235.7509992479158,0.004205380612963466,50,vanilla,free_v
7,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
8,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
9,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
10,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
11,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
12,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
13,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
14,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
15,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
16,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
17,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
18,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
19,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
20,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
21,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
22,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
23,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
24,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
25,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
26,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
27,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
28,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
29,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
30,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
31,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
32,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
33,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
34,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
35,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
36,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
37,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
38,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
39,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
40,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
41,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
42,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
43,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
44,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
45,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
46,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
47,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
48,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
49,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
50,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
51,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
52,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
53,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
54,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
55,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
56,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
57,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
58,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
59,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
60,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
61,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
62,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
63,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
64,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
65,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
66,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
67,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
68,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
69,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
70,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
71,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
72,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
73,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
74,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
75,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
76,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
77,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
78,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
79,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
80,27.0,1133.6112590974703,0.004205380612963466,50,vanilla,free_v
81,42.0,793.910123433241,0.004205380612963466,50,vanilla,free_v
