Unnamed: 0,t,dist,I,coll,var
0,59.0,1201.6724778235248,50,vanilla,fixed
1,54.0,1016.9191070426087,50,vanilla,fixed
2,49.0,1069.5756671957793,50,vanilla,fixed
3,37.0,825.915175028137,50,vanilla,fixed
4,55.0,1192.789789882744,50,vanilla,fixed
5,52.0,1026.0578486433567,50,vanilla,fixed
6,43.0,781.9730936385172,50,vanilla,fixed
7,52.0,936.6148415056324,50,vanilla,fixed
8,61.0,995.8837912924322,50,vanilla,fixed
9,41.0,1054.0567271691668,50,vanilla,fixed
10,48.0,1085.2773754478685,50,vanilla,fixed
11,40.0,1283.1509462607346,50,vanilla,fixed
12,38.0,973.5619191678184,50,vanilla,fixed
13,54.0,1047.421746299586,50,vanilla,fixed
14,63.0,920.3731337548094,50,vanilla,fixed
15,38.0,918.1041387502296,50,vanilla,fixed
16,51.0,1099.8930628715336,50,vanilla,fixed
17,53.0,1080.7785463344362,50,vanilla,fixed
18,31.0,1307.0175363655944,50,vanilla,fixed
19,41.0,1171.1089785179188,50,vanilla,fixed
20,58.0,1006.4445233094578,50,vanilla,fixed
21,50.0,1320.9247784231725,50,vanilla,fixed
22,53.0,1064.205750325961,50,vanilla,fixed
23,51.0,1008.1645493716856,50,vanilla,fixed
24,40.0,1127.5465092059649,50,vanilla,fixed
25,33.0,1121.6776412188592,50,vanilla,fixed
26,49.0,909.2406520956862,50,vanilla,fixed
27,43.0,1063.027914645803,50,vanilla,fixed
28,70.0,1107.5223191309888,50,vanilla,fixed
29,23.0,1011.6898316897924,50,vanilla,fixed
30,89.0,1085.5097930790596,50,vanilla,fixed
31,30.0,1127.0388749807482,50,vanilla,fixed
32,24.0,732.4100612095415,50,vanilla,fixed
33,44.0,900.3135284854238,50,vanilla,fixed
34,45.0,906.7590588020388,50,vanilla,fixed
35,39.0,1150.6348109730995,50,vanilla,fixed
36,52.0,915.010183660923,50,vanilla,fixed
37,30.0,876.1687362727365,50,vanilla,fixed
38,43.0,919.6492975619832,50,vanilla,fixed
39,50.0,1113.715530174759,50,vanilla,fixed
40,50.0,1053.7679141933363,50,vanilla,fixed
41,35.0,1179.6360232702252,50,vanilla,fixed
42,45.0,1173.346776694395,50,vanilla,fixed
43,50.0,1152.6276064145836,50,vanilla,fixed
44,45.0,1311.513600965242,50,vanilla,fixed
45,48.0,1161.051204768857,50,vanilla,fixed
46,45.0,1009.0652104813348,50,vanilla,fixed
47,36.0,911.8744546242611,50,vanilla,fixed
48,40.0,1246.532967731638,50,vanilla,fixed
49,24.0,807.9178573782413,50,vanilla,fixed
50,40.0,919.476421350048,50,vanilla,fixed
51,20.0,1188.613570048365,50,vanilla,fixed
52,28.0,920.5069638065012,50,vanilla,fixed
53,92.0,883.5606309990874,50,vanilla,fixed
54,28.0,971.5725404168468,50,vanilla,fixed
55,59.0,1066.1770292892527,50,vanilla,fixed
56,49.0,1159.052195954333,50,vanilla,fixed
57,82.0,959.1518618764104,50,vanilla,fixed
58,44.0,1086.0649303085988,50,vanilla,fixed
59,48.0,809.6273292767446,50,vanilla,fixed
60,49.0,868.1308349565161,50,vanilla,fixed
61,43.0,940.4284554414828,50,vanilla,fixed
62,56.0,776.4981664284478,50,vanilla,fixed
63,41.0,1432.6407776978867,50,vanilla,fixed
64,37.0,1168.96728789941,50,vanilla,fixed
65,48.0,1365.3868930974825,50,vanilla,fixed
66,34.0,878.4931600569059,50,vanilla,fixed
67,40.0,995.0135188591194,50,vanilla,fixed
68,38.0,1418.6383445661538,50,vanilla,fixed
69,13.0,1151.628322097586,50,vanilla,fixed
70,33.0,984.1309183828836,50,vanilla,fixed
71,41.0,1275.734900633242,50,vanilla,fixed
72,42.0,1096.7840396012632,50,vanilla,fixed
73,48.0,676.0559464493356,50,vanilla,fixed
74,58.0,1103.217682792324,50,vanilla,fixed
75,50.0,1231.3480644406077,50,vanilla,fixed
76,57.0,1180.4623784537885,50,vanilla,fixed
77,52.0,1109.774459902903,50,vanilla,fixed
78,73.0,1200.7313893590624,50,vanilla,fixed
79,38.0,1038.9690047777378,50,vanilla,fixed
80,21.0,875.1444238269083,50,vanilla,fixed
81,16.0,997.0764143054448,50,vanilla,fixed
82,52.0,1077.8205958040476,50,vanilla,fixed
83,63.0,1334.6445716011344,50,vanilla,fixed
84,36.0,900.84465141074,50,vanilla,fixed
85,26.0,1182.517495388572,50,vanilla,fixed
86,56.0,1031.184139096607,50,vanilla,fixed
87,78.0,982.5157433117956,50,vanilla,fixed
88,45.0,1072.265646630737,50,vanilla,fixed
89,76.0,925.910643732612,50,vanilla,fixed
90,63.0,1166.4629201213454,50,vanilla,fixed
91,34.0,879.4971798996585,50,vanilla,fixed
92,33.0,1220.4617684591944,50,vanilla,fixed
93,55.0,1164.6832631656598,50,vanilla,fixed
94,58.0,1064.5694230053,50,vanilla,fixed
95,53.0,1224.4352906399108,50,vanilla,fixed
96,57.0,1030.3059694951362,50,vanilla,fixed
97,56.0,890.8891109554243,50,vanilla,fixed
98,28.0,829.2163952877947,50,vanilla,fixed
99,15.0,1035.3451759741397,50,vanilla,fixed
100,52.0,1914.4204572532344,100,vanilla,fixed
101,61.0,1960.6161741477797,100,vanilla,fixed
102,77.0,2099.559938506592,100,vanilla,fixed
103,54.0,2115.595333691329,100,vanilla,fixed
104,50.0,1866.6213430582736,100,vanilla,fixed
105,69.0,2555.058927727384,100,vanilla,fixed
106,112.0,1900.312126752217,100,vanilla,fixed
107,60.0,2452.96224121995,100,vanilla,fixed
108,50.0,1778.0580609471576,100,vanilla,fixed
109,68.0,2437.9737423026577,100,vanilla,fixed
110,71.0,2316.293093723484,100,vanilla,fixed
111,63.0,2153.9652085283647,100,vanilla,fixed
112,57.0,1861.0021379181687,100,vanilla,fixed
113,51.0,2236.132997089924,100,vanilla,fixed
114,57.0,2154.18121521693,100,vanilla,fixed
115,60.0,1898.383196952976,100,vanilla,fixed
116,59.0,2085.328244833834,100,vanilla,fixed
117,51.0,2263.06852617634,100,vanilla,fixed
118,64.0,2349.318102676274,100,vanilla,fixed
119,82.0,2332.837031585379,100,vanilla,fixed
120,68.0,2414.266636663521,100,vanilla,fixed
121,62.0,2343.0058823371746,100,vanilla,fixed
122,57.0,2368.188022334529,100,vanilla,fixed
123,56.0,2056.81236045808,100,vanilla,fixed
124,69.0,2046.51767304491,100,vanilla,fixed
125,58.0,2270.71961460338,100,vanilla,fixed
126,34.0,2038.8746987876937,100,vanilla,fixed
127,72.0,2410.8297138082544,100,vanilla,fixed
128,99.0,2667.6996925553017,100,vanilla,fixed
129,117.0,2422.594196161714,100,vanilla,fixed
130,70.0,1958.9138123015036,100,vanilla,fixed
131,51.0,1874.29160560881,100,vanilla,fixed
132,62.0,2003.0434956771303,100,vanilla,fixed
133,76.0,2084.982557971412,100,vanilla,fixed
134,117.0,1984.741714817671,100,vanilla,fixed
135,67.0,2756.0975937625103,100,vanilla,fixed
136,70.0,2013.5877912414296,100,vanilla,fixed
137,71.0,2418.114713304084,100,vanilla,fixed
138,57.0,2203.6129306313446,100,vanilla,fixed
139,113.0,2131.134202472745,100,vanilla,fixed
140,46.0,1771.5010840538223,100,vanilla,fixed
141,70.0,2170.397464448723,100,vanilla,fixed
142,62.0,2153.951068550259,100,vanilla,fixed
143,65.0,1936.1641651014668,100,vanilla,fixed
144,46.0,1963.7230784848248,100,vanilla,fixed
145,67.0,2067.8097150304197,100,vanilla,fixed
146,59.0,2119.853721117457,100,vanilla,fixed
147,68.0,2164.279493920425,100,vanilla,fixed
148,71.0,2350.9908528500187,100,vanilla,fixed
149,50.0,2130.374300746117,100,vanilla,fixed
150,67.0,2279.0360391620547,100,vanilla,fixed
151,70.0,2265.5481173567377,100,vanilla,fixed
152,66.0,1867.9541236977195,100,vanilla,fixed
153,40.0,2199.1607329556564,100,vanilla,fixed
154,50.0,2187.181707558947,100,vanilla,fixed
155,47.0,2472.551547982596,100,vanilla,fixed
156,61.0,2084.7070594636093,100,vanilla,fixed
157,49.0,2175.2015685482047,100,vanilla,fixed
158,62.0,2152.894721109636,100,vanilla,fixed
159,57.0,1845.738824467982,100,vanilla,fixed
160,52.0,2185.601355766845,100,vanilla,fixed
161,63.0,2196.0242578394614,100,vanilla,fixed
162,92.0,2397.682705609434,100,vanilla,fixed
163,64.0,1996.9567985872295,100,vanilla,fixed
164,81.0,2077.062572145029,100,vanilla,fixed
165,71.0,2058.2656282994085,100,vanilla,fixed
166,51.0,2304.8174937669683,100,vanilla,fixed
167,58.0,2268.8756321617548,100,vanilla,fixed
168,68.0,2013.1596683919415,100,vanilla,fixed
169,50.0,1936.1319686712384,100,vanilla,fixed
170,61.0,1927.0068530226956,100,vanilla,fixed
171,60.0,2056.36615722315,100,vanilla,fixed
172,72.0,2364.986537662636,100,vanilla,fixed
173,61.0,2025.5721209881804,100,vanilla,fixed
174,70.0,2250.928479321234,100,vanilla,fixed
175,76.0,2042.4460816165408,100,vanilla,fixed
176,63.0,2205.43005678593,100,vanilla,fixed
177,59.0,2074.936167449526,100,vanilla,fixed
178,108.0,2046.7034404319616,100,vanilla,fixed
179,57.0,2296.8962015015545,100,vanilla,fixed
180,67.0,2087.0946618166304,100,vanilla,fixed
181,48.0,2307.1921726950377,100,vanilla,fixed
182,63.0,2281.122525543552,100,vanilla,fixed
183,56.0,2044.9033026872432,100,vanilla,fixed
184,81.0,2034.042253561498,100,vanilla,fixed
185,111.0,2362.759407632302,100,vanilla,fixed
186,60.0,1883.5090682239572,100,vanilla,fixed
187,47.0,2220.45437250569,100,vanilla,fixed
188,67.0,2005.2037964304327,100,vanilla,fixed
189,57.0,2073.3409963020317,100,vanilla,fixed
190,42.0,1905.4977129175484,100,vanilla,fixed
191,64.0,2017.535859796792,100,vanilla,fixed
192,65.0,1773.2985770555922,100,vanilla,fixed
193,53.0,2242.579050131539,100,vanilla,fixed
194,40.0,2362.845809100839,100,vanilla,fixed
195,68.0,1997.8328708914528,100,vanilla,fixed
196,71.0,2135.7464575275862,100,vanilla,fixed
197,60.0,1970.535664926148,100,vanilla,fixed
198,57.0,1842.4948304268864,100,vanilla,fixed
199,68.0,2069.930677593277,100,vanilla,fixed
200,156.0,5171.692049148405,250,vanilla,fixed
201,208.0,4144.81990300998,250,vanilla,fixed
202,254.0,5198.211945293829,250,vanilla,fixed
203,172.0,5319.668346176088,250,vanilla,fixed
204,198.0,4221.172220968834,250,vanilla,fixed
205,136.0,5033.927219201107,250,vanilla,fixed
206,184.0,4814.925159313832,250,vanilla,fixed
207,176.0,4521.217940014719,250,vanilla,fixed
208,171.0,5613.593609758598,250,vanilla,fixed
209,230.0,4559.909157874803,250,vanilla,fixed
210,99.0,5396.2743140643925,250,vanilla,fixed
211,169.0,4784.792271741245,250,vanilla,fixed
212,337.0,5540.922873222054,250,vanilla,fixed
213,248.0,5025.476539225235,250,vanilla,fixed
214,192.0,5105.789444950512,250,vanilla,fixed
215,220.0,5147.423771470043,250,vanilla,fixed
216,184.0,4539.271852300396,250,vanilla,fixed
217,219.0,4938.417131205853,250,vanilla,fixed
218,202.0,5449.576643975699,250,vanilla,fixed
219,193.0,5233.263938947756,250,vanilla,fixed
220,133.0,4935.293982205986,250,vanilla,fixed
221,195.0,5615.871362813138,250,vanilla,fixed
222,227.0,5237.552951137021,250,vanilla,fixed
223,173.0,4624.9187918928565,250,vanilla,fixed
224,209.0,4514.169764609275,250,vanilla,fixed
225,195.0,4940.4235405934205,250,vanilla,fixed
226,193.0,4982.176048487019,250,vanilla,fixed
227,203.0,4695.1184694388685,250,vanilla,fixed
228,186.0,5310.795989233098,250,vanilla,fixed
229,179.0,5404.763699642872,250,vanilla,fixed
230,196.0,5555.533225986217,250,vanilla,fixed
231,208.0,5399.527720103359,250,vanilla,fixed
232,166.0,5164.619625464338,250,vanilla,fixed
233,212.0,4970.780088533134,250,vanilla,fixed
234,135.0,4797.6205518873885,250,vanilla,fixed
235,234.0,5395.110449371322,250,vanilla,fixed
236,167.0,5002.939758215602,250,vanilla,fixed
237,355.0,5504.334054663158,250,vanilla,fixed
238,125.0,4631.825287774193,250,vanilla,fixed
239,219.0,4224.167663859782,250,vanilla,fixed
240,74.0,4912.6323485967,250,vanilla,fixed
241,192.0,4862.916867252235,250,vanilla,fixed
242,92.0,5427.035084934883,250,vanilla,fixed
243,225.0,4496.616821513454,250,vanilla,fixed
244,218.0,5731.297108315352,250,vanilla,fixed
245,185.0,5294.367191671815,250,vanilla,fixed
246,233.0,4730.7149747453295,250,vanilla,fixed
247,327.0,5781.944564695696,250,vanilla,fixed
248,194.0,5550.003584577914,250,vanilla,fixed
249,161.0,5206.422732203473,250,vanilla,fixed
250,210.0,5204.812917942439,250,vanilla,fixed
251,375.0,5069.790102899434,250,vanilla,fixed
252,207.0,5433.992783084875,250,vanilla,fixed
253,212.0,4588.609121937228,250,vanilla,fixed
254,210.0,5068.166670749497,250,vanilla,fixed
255,187.0,5028.808073732896,250,vanilla,fixed
256,227.0,5067.585359779281,250,vanilla,fixed
257,218.0,5026.824969615967,250,vanilla,fixed
258,129.0,4636.17479548824,250,vanilla,fixed
259,163.0,4702.844668030868,250,vanilla,fixed
260,189.0,4770.777021541452,250,vanilla,fixed
261,205.0,4971.247600008705,250,vanilla,fixed
262,192.0,4967.123160107764,250,vanilla,fixed
263,136.0,6063.258821528195,250,vanilla,fixed
264,164.0,4242.655790413537,250,vanilla,fixed
265,202.0,4933.648400663128,250,vanilla,fixed
266,85.0,5397.180769468606,250,vanilla,fixed
267,204.0,4904.834583870067,250,vanilla,fixed
268,247.0,5606.308459368478,250,vanilla,fixed
269,334.0,5513.793005422445,250,vanilla,fixed
270,212.0,5224.5371430273,250,vanilla,fixed
271,108.0,5096.301468671799,250,vanilla,fixed
272,231.0,5339.868749111016,250,vanilla,fixed
273,158.0,4717.305765231115,250,vanilla,fixed
274,220.0,4624.97304969884,250,vanilla,fixed
275,207.0,4885.887378800825,250,vanilla,fixed
276,196.0,4818.89374464968,250,vanilla,fixed
277,134.0,5197.569781483757,250,vanilla,fixed
278,174.0,5507.717136398892,250,vanilla,fixed
279,218.0,4971.614868298671,250,vanilla,fixed
280,267.0,5685.508114039206,250,vanilla,fixed
281,126.0,5098.2007015180325,250,vanilla,fixed
282,185.0,5336.787337204551,250,vanilla,fixed
283,167.0,4924.035306996335,250,vanilla,fixed
284,183.0,5479.044077550947,250,vanilla,fixed
285,88.0,4768.190212273473,250,vanilla,fixed
286,166.0,4764.372847704995,250,vanilla,fixed
287,222.0,4691.863968418114,250,vanilla,fixed
288,192.0,5407.492814344521,250,vanilla,fixed
289,209.0,5116.551313704863,250,vanilla,fixed
290,125.0,4998.06730285437,250,vanilla,fixed
291,201.0,5300.817714078429,250,vanilla,fixed
292,229.0,5783.232635027151,250,vanilla,fixed
293,175.0,4531.24658920447,250,vanilla,fixed
294,211.0,4754.1945795593765,250,vanilla,fixed
295,165.0,5433.511037454065,250,vanilla,fixed
296,202.0,4917.917456831359,250,vanilla,fixed
297,219.0,5141.045997606221,250,vanilla,fixed
298,197.0,4997.149598776221,250,vanilla,fixed
299,241.0,4902.883027203897,250,vanilla,fixed
300,367.0,10039.606298589591,500,vanilla,fixed
301,381.0,9872.197123657885,500,vanilla,fixed
302,376.0,9763.856259600738,500,vanilla,fixed
303,396.0,9917.921130608556,500,vanilla,fixed
304,388.0,10208.226422016174,500,vanilla,fixed
305,350.0,9523.94369634048,500,vanilla,fixed
306,265.0,9873.367431241448,500,vanilla,fixed
307,308.0,10428.813558168751,500,vanilla,fixed
308,404.0,9957.038391246611,500,vanilla,fixed
309,375.0,10116.515691987255,500,vanilla,fixed
310,337.0,9561.692470389777,500,vanilla,fixed
311,398.0,9958.86968945607,500,vanilla,fixed
312,371.0,9885.901752536662,500,vanilla,fixed
313,347.0,9252.701383761188,500,vanilla,fixed
314,563.0,10266.384196325536,500,vanilla,fixed
315,428.0,10668.502592502318,500,vanilla,fixed
316,347.0,10578.375056646808,500,vanilla,fixed
317,399.0,10276.136136374438,500,vanilla,fixed
318,211.0,10580.36174863768,500,vanilla,fixed
319,334.0,10103.163909650382,500,vanilla,fixed
320,403.0,9753.78061033911,500,vanilla,fixed
321,344.0,9211.046235280255,500,vanilla,fixed
322,402.0,9354.012610457416,500,vanilla,fixed
323,404.0,9643.089343133832,500,vanilla,fixed
324,325.0,10122.106086297375,500,vanilla,fixed
325,316.0,9884.215405070943,500,vanilla,fixed
326,613.0,10179.035031169322,500,vanilla,fixed
327,193.0,10385.913802465502,500,vanilla,fixed
328,276.0,11104.91844010542,500,vanilla,fixed
329,364.0,10026.294803501602,500,vanilla,fixed
330,204.0,9313.104653627332,500,vanilla,fixed
331,325.0,10358.736572906748,500,vanilla,fixed
332,243.0,10676.835839465826,500,vanilla,fixed
333,380.0,10189.724460539132,500,vanilla,fixed
334,399.0,9691.830317068809,500,vanilla,fixed
335,569.0,10501.13197536996,500,vanilla,fixed
336,339.0,10840.192626900913,500,vanilla,fixed
337,349.0,10088.176124865411,500,vanilla,fixed
338,371.0,10127.977618515784,500,vanilla,fixed
339,338.0,10098.828144140552,500,vanilla,fixed
340,317.0,9468.630862916749,500,vanilla,fixed
341,360.0,9191.507538743814,500,vanilla,fixed
342,281.0,9950.427881908963,500,vanilla,fixed
343,349.0,10317.256961920244,500,vanilla,fixed
344,346.0,10435.578978157231,500,vanilla,fixed
345,385.0,10145.945912477346,500,vanilla,fixed
346,218.0,9891.597338339709,500,vanilla,fixed
347,387.0,10163.723295526011,500,vanilla,fixed
348,408.0,10561.103526462472,500,vanilla,fixed
349,347.0,10171.407494795154,500,vanilla,fixed
350,344.0,10195.624634823407,500,vanilla,fixed
351,384.0,10052.34128974909,500,vanilla,fixed
352,354.0,10395.556436835115,500,vanilla,fixed
353,273.0,9587.039708264514,500,vanilla,fixed
354,407.0,10553.939017905495,500,vanilla,fixed
355,329.0,9726.542033251166,500,vanilla,fixed
356,278.0,9798.717281987294,500,vanilla,fixed
357,297.0,10199.170818869652,500,vanilla,fixed
358,292.0,9392.602601234736,500,vanilla,fixed
359,288.0,10364.76074724461,500,vanilla,fixed
360,325.0,9644.301268425612,500,vanilla,fixed
361,303.0,9725.313337763158,500,vanilla,fixed
362,381.0,9861.76545589111,500,vanilla,fixed
363,363.0,9918.481868346802,500,vanilla,fixed
364,350.0,10491.052905294571,500,vanilla,fixed
365,383.0,10263.118491783212,500,vanilla,fixed
366,345.0,9949.340279369402,500,vanilla,fixed
367,318.0,9631.092530068508,500,vanilla,fixed
368,369.0,9410.536035800484,500,vanilla,fixed
369,197.0,10855.801547129306,500,vanilla,fixed
370,316.0,11062.39275880484,500,vanilla,fixed
371,305.0,10124.723374366476,500,vanilla,fixed
372,307.0,9966.634584835592,500,vanilla,fixed
373,310.0,10706.870491754058,500,vanilla,fixed
374,292.0,10266.100556375724,500,vanilla,fixed
375,374.0,10325.37312363934,500,vanilla,fixed
376,220.0,10178.3962410675,500,vanilla,fixed
377,246.0,10064.350993201317,500,vanilla,fixed
378,237.0,10385.58360669698,500,vanilla,fixed
379,520.0,10151.41349826806,500,vanilla,fixed
380,591.0,10781.40494813534,500,vanilla,fixed
381,304.0,10349.701391245237,500,vanilla,fixed
382,555.0,10126.088568796007,500,vanilla,fixed
383,252.0,9853.87404714574,500,vanilla,fixed
384,400.0,10008.721725824493,500,vanilla,fixed
385,282.0,10763.593095984965,500,vanilla,fixed
386,323.0,9899.415187682103,500,vanilla,fixed
387,337.0,10191.53812408978,500,vanilla,fixed
388,378.0,9938.816036665688,500,vanilla,fixed
389,382.0,10666.311382332116,500,vanilla,fixed
390,581.0,10036.769452297429,500,vanilla,fixed
391,390.0,9600.864931596769,500,vanilla,fixed
392,260.0,10812.982349085343,500,vanilla,fixed
393,343.0,10624.488429571957,500,vanilla,fixed
394,328.0,10107.213140720562,500,vanilla,fixed
395,335.0,10596.74783109203,500,vanilla,fixed
396,341.0,10210.55337826052,500,vanilla,fixed
397,391.0,9599.366335455055,500,vanilla,fixed
398,196.0,10562.326690967428,500,vanilla,fixed
399,322.0,9946.492138007998,500,vanilla,fixed
400,763.0,19654.457206745046,1000,vanilla,fixed
401,1000.0,19681.130988315665,1000,vanilla,fixed
402,752.0,19746.074308937863,1000,vanilla,fixed
403,730.0,20117.64157470852,1000,vanilla,fixed
404,765.0,19539.832450997867,1000,vanilla,fixed
405,823.0,19456.85559398126,1000,vanilla,fixed
406,1000.0,19489.10204726549,1000,vanilla,fixed
407,615.0,19787.08197191437,1000,vanilla,fixed
408,821.0,20199.703252515767,1000,vanilla,fixed
409,746.0,20153.9306332324,1000,vanilla,fixed
410,727.0,18830.839666609438,1000,vanilla,fixed
411,641.0,20712.48959997605,1000,vanilla,fixed
412,794.0,20160.67808587612,1000,vanilla,fixed
413,382.0,20076.639759858084,1000,vanilla,fixed
414,843.0,19613.19733410859,1000,vanilla,fixed
415,552.0,19588.549312407187,1000,vanilla,fixed
416,683.0,19835.499807715994,1000,vanilla,fixed
417,742.0,20093.56353624539,1000,vanilla,fixed
418,800.0,19485.12999190751,1000,vanilla,fixed
419,666.0,21390.437407925605,1000,vanilla,fixed
420,592.0,19702.050519826364,1000,vanilla,fixed
421,771.0,20905.78916827944,1000,vanilla,fixed
422,1000.0,21002.968014830607,1000,vanilla,fixed
423,769.0,20576.789073956366,1000,vanilla,fixed
424,1000.0,20800.47974308368,1000,vanilla,fixed
425,818.0,20479.73718343365,1000,vanilla,fixed
