,t,dist,eps,I,coll,var
0,8.0,959.6432636505929,0.008586563186998165,50,collapsed,free_v
1,7.0,1440.6905055557886,0.008586563186998165,50,collapsed,free_v
2,6.0,1325.6942980543486,0.008586563186998165,50,collapsed,free_v
3,9.0,1294.61639364869,0.008586563186998165,50,collapsed,free_v
4,7.0,1269.408609414745,0.008586563186998165,50,collapsed,free_v
5,9.0,1126.692752796321,0.008586563186998165,50,collapsed,free_v
6,10.0,2965.7591766892538,0.008586563186998165,50,collapsed,free_v
7,7.0,1343.0872398213069,0.008586563186998165,50,collapsed,free_v
8,12.0,1243.1850160567417,0.008586563186998165,50,collapsed,free_v
9,7.0,1227.042101816083,0.008586563186998165,50,collapsed,free_v
10,6.0,113364.23877419221,0.008586563186998165,50,collapsed,free_v
11,8.0,1090.407593162708,0.008586563186998165,50,collapsed,free_v
12,8.0,1046.5136224923622,0.008586563186998165,50,collapsed,free_v
13,11.0,1648.1981637718889,0.008586563186998165,50,collapsed,free_v
14,9.0,859.7124212838328,0.008586563186998165,50,collapsed,free_v
15,9.0,1064.0536084744313,0.008586563186998165,50,collapsed,free_v
16,8.0,1012.376453019211,0.008586563186998165,50,collapsed,free_v
17,11.0,1100.5413968864623,0.008586563186998165,50,collapsed,free_v
18,9.0,10601.579200163898,0.008586563186998165,50,collapsed,free_v
19,9.0,1290.9506876986152,0.008586563186998165,50,collapsed,free_v
20,13.0,12930.376206089242,0.008586563186998165,50,collapsed,free_v
21,9.0,1146.6864896111972,0.008586563186998165,50,collapsed,free_v
22,11.0,972.8428578691683,0.008586563186998165,50,collapsed,free_v
23,7.0,827.7521181255076,0.008586563186998165,50,collapsed,free_v
24,8.0,1108.2033297260712,0.008586563186998165,50,collapsed,free_v
25,10.0,1145.1871136892644,0.008586563186998165,50,collapsed,free_v
26,9.0,2280.322874067494,0.008586563186998165,50,collapsed,free_v
27,9.0,1479.5610715619553,0.008586563186998165,50,collapsed,free_v
28,7.0,930.9006609352946,0.008586563186998165,50,collapsed,free_v
29,8.0,1178.0646139771009,0.008586563186998165,50,collapsed,free_v
30,11.0,13705592.04958408,0.008586563186998165,50,collapsed,free_v
31,9.0,1055.459444679387,0.008586563186998165,50,collapsed,free_v
32,7.0,1114.7829147364266,0.008586563186998165,50,collapsed,free_v
33,10.0,1006.4415846632144,0.008586563186998165,50,collapsed,free_v
34,9.0,1134.938622534529,0.008586563186998165,50,collapsed,free_v
35,8.0,1014.0519636078119,0.008586563186998165,50,collapsed,free_v
36,9.0,870.3752408215903,0.008586563186998165,50,collapsed,free_v
37,9.0,1286.0185309982812,0.008586563186998165,50,collapsed,free_v
38,12.0,3157.6780472590663,0.008586563186998165,50,collapsed,free_v
