,t,dist,I,coll,var
0,10.0,1539.3759250059722,100,collapsed,fixed
1,12.0,1841.2210895027183,100,collapsed,fixed
2,11.0,1062.5815808715868,100,collapsed,fixed
3,10.0,1352.18877248685,100,collapsed,fixed
4,10.0,1441.2541980416531,100,collapsed,fixed
5,10.0,1672.7553500274794,100,collapsed,fixed
6,11.0,1396.14637800412,100,collapsed,fixed
7,10.0,1307.3136680752534,100,collapsed,fixed
8,11.0,1724.1866433840325,100,collapsed,fixed
9,10.0,1035.549926839132,100,collapsed,fixed
10,9.0,1098.7892326727517,100,collapsed,fixed
11,13.0,2291.245033370977,100,collapsed,fixed
12,10.0,1399.889950062382,100,collapsed,fixed
13,12.0,1923.5193081056354,100,collapsed,fixed
14,13.0,1651.0262693882205,100,collapsed,fixed
15,21.0,1433.783574993404,100,collapsed,fixed
16,11.0,1720.9449252944028,100,collapsed,fixed
17,11.0,1560.9652621109985,100,collapsed,fixed
18,10.0,1505.0231742863034,100,collapsed,fixed
19,12.0,1335.9483840674384,100,collapsed,fixed
20,12.0,1434.5229756415395,100,collapsed,fixed
21,13.0,1428.5626339967068,100,collapsed,fixed
22,10.0,1767.8463386432848,100,collapsed,fixed
23,10.0,1621.8979204684754,100,collapsed,fixed
24,12.0,1402.341225392173,100,collapsed,fixed
25,10.0,1445.581139590766,100,collapsed,fixed
26,13.0,1594.8247808916715,100,collapsed,fixed
27,16.0,2125.2544832831763,100,collapsed,fixed
28,11.0,1900.7504934177805,100,collapsed,fixed
29,12.0,1664.120768034153,100,collapsed,fixed
30,9.0,1443.6749354538938,100,collapsed,fixed
31,10.0,1984.1763317453372,100,collapsed,fixed
32,13.0,1802.3015005984669,100,collapsed,fixed
33,12.0,1684.462994522728,100,collapsed,fixed
34,11.0,1385.0092645294567,100,collapsed,fixed
35,11.0,1266.979412727506,100,collapsed,fixed
36,9.0,1324.0190971004874,100,collapsed,fixed
37,10.0,1122.782110449579,100,collapsed,fixed
38,11.0,1214.1354311447337,100,collapsed,fixed
39,8.0,1038.469578329128,100,collapsed,fixed
40,11.0,1266.6670159135795,100,collapsed,fixed
41,12.0,1473.286961114611,100,collapsed,fixed
42,11.0,1081.3298312952743,100,collapsed,fixed
43,10.0,1065.800350880286,100,collapsed,fixed
44,11.0,1481.2759406784262,100,collapsed,fixed
45,13.0,1588.9568097425254,100,collapsed,fixed
46,13.0,1485.6150349393743,100,collapsed,fixed
47,12.0,1975.3442312011125,100,collapsed,fixed
48,12.0,1713.4165408522338,100,collapsed,fixed
49,10.0,1484.4955363343433,100,collapsed,fixed
50,10.0,1700.3423757328344,100,collapsed,fixed
51,11.0,1349.149818948007,100,collapsed,fixed
52,14.0,2029.517013422239,100,collapsed,fixed
53,9.0,1899.8112693050662,100,collapsed,fixed
54,12.0,1396.6512203955879,100,collapsed,fixed
55,10.0,1042.6798301866363,100,collapsed,fixed
56,10.0,1523.6120407463113,100,collapsed,fixed
57,15.0,1728.3773624619294,100,collapsed,fixed
58,12.0,1473.456654394848,100,collapsed,fixed
59,12.0,1181.1756556038365,100,collapsed,fixed
60,12.0,1190.3004751051558,100,collapsed,fixed
61,10.0,1293.7655062993786,100,collapsed,fixed
62,11.0,1551.9317675672874,100,collapsed,fixed
63,13.0,1642.3098089888003,100,collapsed,fixed
64,11.0,1189.9391373903468,100,collapsed,fixed
65,10.0,1395.7051999331538,100,collapsed,fixed
66,11.0,1646.1376995718788,100,collapsed,fixed
67,10.0,1185.7280780335977,100,collapsed,fixed
68,14.0,1383.9290915380604,100,collapsed,fixed
69,12.0,1888.8938933082318,100,collapsed,fixed
70,11.0,1260.242910431746,100,collapsed,fixed
71,12.0,1657.9985285908306,100,collapsed,fixed
72,12.0,1088.0513691483586,100,collapsed,fixed
73,11.0,1458.9251039430699,100,collapsed,fixed
74,11.0,1381.764466972906,100,collapsed,fixed
75,14.0,1137.9346322085446,100,collapsed,fixed
76,10.0,1468.5059238663341,100,collapsed,fixed
77,15.0,2146.9920228502983,100,collapsed,fixed
78,10.0,1668.6875639596435,100,collapsed,fixed
79,15.0,1730.7505771156395,100,collapsed,fixed
80,12.0,1644.6729018756046,100,collapsed,fixed
81,12.0,1332.8934502040665,100,collapsed,fixed
82,12.0,1772.6674665078617,100,collapsed,fixed
83,11.0,1698.3417147414016,100,collapsed,fixed
84,14.0,2116.2637004799385,100,collapsed,fixed
85,14.0,1583.842685829219,100,collapsed,fixed
86,12.0,1697.7209419866329,100,collapsed,fixed
87,12.0,1423.6992128794873,100,collapsed,fixed
88,12.0,1516.4737567839877,100,collapsed,fixed
89,11.0,1392.0642720573846,100,collapsed,fixed
90,11.0,1191.2093909563507,100,collapsed,fixed
91,11.0,1687.6347033042525,100,collapsed,fixed
92,8.0,1430.5123666984734,100,collapsed,fixed
93,13.0,1389.3719040730946,100,collapsed,fixed
94,13.0,1836.8311944256673,100,collapsed,fixed
95,10.0,1408.7808192244702,100,collapsed,fixed
