K,times_collapsed,bounds_collapsed,times_vanilla,bounds_vanilla
2,6.9,36.0719109319084,22.8,85.2790742155018
4,10.6,38.37683263284276,41.1,105.23985099530633
5,9.3,39.70417400935764,68.3,113.43610707676714
