I,S,var_fixed,time
"(np.int64(120), np.int64(210), np.int64(270))",20,False,419
"(np.int64(120), np.int64(210), np.int64(270))",20,False,100
"(np.int64(120), np.int64(210), np.int64(270))",20,False,93
"(np.int64(120), np.int64(210), np.int64(270))",20,False,42
"(np.int64(200), np.int64(350), np.int64(450))",20,False,73
"(np.int64(200), np.int64(350), np.int64(450))",20,False,66
"(np.int64(200), np.int64(350), np.int64(450))",20,False,231
"(np.int64(200), np.int64(350), np.int64(450))",20,False,127
"(np.int64(200), np.int64(350), np.int64(450))",20,False,229
"(np.int64(200), np.int64(350), np.int64(450))",20,False,65
"(np.int64(200), np.int64(350), np.int64(450))",20,False,65
"(np.int64(200), np.int64(350), np.int64(450))",20,False,349
"(np.int64(200), np.int64(350), np.int64(450))",20,False,79
"(np.int64(200), np.int64(350), np.int64(450))",20,False,352

