config,K,I1,I2,I3,N,rep,meeting_time
I_100_100_100,3,100,100,100,963,123,10
I_100_100_100,3,100,100,100,1015,124,23
I_100_100_100,3,100,100,100,988,125,25
I_100_100_100,3,100,100,100,984,126,29
I_100_100_100,3,100,100,100,971,127,8
I_100_100_100,3,100,100,100,1030,128,18
I_100_100_100,3,100,100,100,1048,129,59
I_100_100_100,3,100,100,100,1025,130,45
I_100_100_100,3,100,100,100,1029,131,17
I_100_100_100,3,100,100,100,1067,132,45
I_100_100_100,3,100,100,100,988,133,29
I_100_100_100,3,100,100,100,984,134,29
I_100_100_100,3,100,100,100,1034,135,19
I_100_100_100,3,100,100,100,1022,136,13
I_100_100_100,3,100,100,100,986,137,16
I_100_100_100,3,100,100,100,1049,138,19
I_100_100_100,3,100,100,100,1018,139,23
I_100_100_100,3,100,100,100,1072,140,6
I_100_100_100,3,100,100,100,1005,141,13
I_100_100_100,3,100,100,100,1009,142,11
I_100_100_100,3,100,100,100,1007,143,17
I_100_100_100,3,100,100,100,1049,144,26
I_100_100_100,3,100,100,100,966,145,27
I_100_100_100,3,100,100,100,960,146,11
I_100_100_100,3,100,100,100,975,147,24
I_100_100_100,3,100,100,100,962,148,78
I_100_100_100,3,100,100,100,1058,149,27
I_100_100_100,3,100,100,100,1029,150,15
I_100_100_100,3,100,100,100,987,151,9
I_100_100_100,3,100,100,100,999,152,16
I_100_100_100,3,100,100,100,1012,153,32
I_100_100_100,3,100,100,100,1015,154,55
I_100_100_100,3,100,100,100,1057,155,27
I_100_100_100,3,100,100,100,1031,156,9
I_100_100_100,3,100,100,100,1028,157,19
I_100_100_100,3,100,100,100,965,158,84
I_100_100_100,3,100,100,100,1038,159,29
I_100_100_100,3,100,100,100,1022,160,14
I_100_100_100,3,100,100,100,1035,161,13
I_100_100_100,3,100,100,100,961,162,43
I_100_100_100,3,100,100,100,1003,163,40
I_100_100_100,3,100,100,100,1013,164,28
I_100_100_100,3,100,100,100,1013,165,15
I_100_100_100,3,100,100,100,1027,166,7
I_100_100_100,3,100,100,100,980,167,38
I_100_100_100,3,100,100,100,1030,168,46
I_100_100_100,3,100,100,100,1010,169,22
I_100_100_100,3,100,100,100,1025,170,54
I_100_100_100,3,100,100,100,1013,171,25
I_100_100_100,3,100,100,100,1050,172,53
I_100_100_100,3,100,100,100,1000,173,12
I_100_100_100,3,100,100,100,1018,174,19
I_100_100_100,3,100,100,100,970,175,27
I_100_100_100,3,100,100,100,1023,176,13
I_100_100_100,3,100,100,100,945,177,28
I_100_100_100,3,100,100,100,981,178,34
I_100_100_100,3,100,100,100,1003,179,39
I_100_100_100,3,100,100,100,1018,180,9
I_100_100_100,3,100,100,100,1000,181,6
I_100_100_100,3,100,100,100,986,182,23
I_100_100_100,3,100,100,100,1018,183,27
I_100_100_100,3,100,100,100,1037,184,19
I_100_100_100,3,100,100,100,1043,185,104
I_100_100_100,3,100,100,100,929,186,35
I_100_100_100,3,100,100,100,1059,187,7
I_100_100_100,3,100,100,100,1022,188,52
I_100_100_100,3,100,100,100,1020,189,7
I_100_100_100,3,100,100,100,982,190,40
I_100_100_100,3,100,100,100,1029,191,72
I_100_100_100,3,100,100,100,1030,192,27
I_100_100_100,3,100,100,100,991,193,8
I_100_100_100,3,100,100,100,1007,194,77
I_100_100_100,3,100,100,100,953,195,14
I_100_100_100,3,100,100,100,993,196,81
I_100_100_100,3,100,100,100,1047,197,6
I_100_100_100,3,100,100,100,1014,198,37
I_100_100_100,3,100,100,100,978,199,9
